semestre,pobreza_hogares,pobreza_personas,indigencia_hogares,indigencia_personas
2S 2016,20.1,25.7,3.6,4.5
1S 2017,17.8,23.8,1.7,1.7
2S 2017,18.7,24.2,2.8,4.0
1S 2018,23.0,30.3,3.1,4.3
2S 2018,24.7,31.7,4.6,6.4
1S 2019,26.2,35.7,3.8,6.4
2S 2019,28.2,37.8,4.3,5.7
1S 2020,28.6,38.0,3.5,4.8
2S 2020,27.4,37.7,3.3,4.7
1S 2021,33.4,42.5,4.4,5.7
2S 2021,29.4,36.2,5.0,6.3
1S 2022,28.2,33.8,5.4,6.4
2S 2022,32.5,41.8,5.8,8.5
1S 2023,34.0,42.2,6.5,8.7
2S 2023,33.8,43.6,8.3,11.1
1S 2024,46.3,55.7,12.5,15.3
2S 2024,31.0,40.0,6.8,9.8
