sector,monto,participacion_pct
G - Comercio al por mayor y menor,1122476,16.1
K - Actividades inmobiliarias y empresariales,1061083,15.2
L - Administración pública y defensa,993128,14.2
D - Industria manufacturera,829367,11.9
"I - Transporte, almac. y comunicaciones",709172,10.2
F - Construcción,389840,5.6
C - Minas y canteras,376965,5.4
A - Agricultura y ganadería,342293,4.9
M - Enseñanza,313347,4.5
N - Servicios sociales y de salud,295582,4.2
O - Otras actividades comunitarias,159366,2.3
J - Intermediación financiera,130504,1.9
"E - Electricidad, gas y agua",123994,1.8
H - Hoteles y restaurantes,120138,1.7
P - Servicio doméstico,15972,0.2
