año,region,actividad,empleo,desocupacion,subocupacion
2016,Jujuy-Palpalá,42.8,40.3,3.5,12.0
2016,NOA,43.5,41.0,5.7,10.0
2016,Total País,46.1,42.6,8.5,10.5
2017,Jujuy-Palpalá,45.5,43.2,5.0,13.8
2017,NOA,44.7,41.9,6.3,11.0
2017,Total País,46.2,42.7,8.5,10.5
2018,Jujuy-Palpalá,43.6,41.4,5.3,12.5
2018,NOA,43.9,41.1,6.5,11.0
2018,Total País,46.7,42.5,9.2,11.5
2019,Jujuy-Palpalá,45.8,43.3,5.5,15.5
2019,NOA,45.4,42.8,6.2,13.1
2019,Total País,47.3,43.0,9.8,13.0
2020,Jujuy-Palpalá,41.7,40.2,5.8,18.0
2020,NOA,41.5,38.9,6.1,12.9
2020,Total País,40.7,33.4,11.5,16.5
2021,Jujuy-Palpalá,45.7,43.5,5.5,13.4
2021,NOA,44.1,41.9,5.7,12.5
2021,Total País,45.0,40.1,8.7,11.5
2022,Jujuy-Palpalá,47.0,44.9,4.9,10.6
2022,NOA,46.1,43.7,5.2,12.4
2022,Total País,47.8,44.6,6.9,10.8
2023,Jujuy-Palpalá,47.3,44.8,5.7,10.6
2023,NOA,45.9,43.4,5.3,12.6
2023,Total País,48.4,45.5,5.7,12.0
2024,Jujuy-Palpalá,47.5,45.1,3.9,12.2
2024,NOA,46.1,43.5,5.8,9.7
2024,Total País,48.5,45.7,6.4,13.2
