año,pbg_total,sector_bienes,sector_servicios
2004,3696464,1406328,2290136
2005,4010107,1551111,2458996
2006,4225402,1588584,2636819
2007,4548294,1652959,2895334
2008,4707750,1721856,2985894
2009,4844307,1712335,3131972
2010,5053614,1808899,3244715
2011,5375231,1863567,3511664
2012,5545932,1886583,3659349
2013,5667284,1821385,3845899
2014,5830365,1903255,3927110
2015,6063316,1955459,4107857
2016,5994338,1851721,4142617
2017,6206366,1927690,4278676
2018,6172768,1898931,4273837
2019,6018466,1835815,4182651
2020,5776501,1674270,4102231
2021,6296518,1889245,4407273
2022,6891750,2117284,4774466
2023,6858376,2047740,4810635
2024,6465553,1825367,4640186
