año,ingresos_corrientes,gastos_corrientes,ingresos_capital,gastos_capital,resultado_primario,resultado_financiero
2005,1260,1146,135,216,100,33
2006,1537,1403,184,285,88,32
2007,2067,1941,176,395,-93,-17
2008,2554,2479,225,480,-127,-180
2009,3157,3078,426,639,-73,-135
2010,4337,3876,551,732,372,281
2011,5377,5244,595,1016,-280,-288
2012,6939,6993,767,1196,-470,-484
2013,8667,9380,1161,1641,-1140,-1193
2014,12548,12875,1755,2559,-1125,-1132
2015,17436,17639,2212,3678,-1649,-1669
2016,21329,24275,1615,3660,-4518,-4991
2017,29395,31710,2380,5470,-4465,-5405
2018,38952,39299,2174,7668,-3361,-5841
2019,54640,53895,1901,7890,-2525,-5244
2020,76340,68527,1974,10098,2794,-311
2021,125888,106111,2800,17724,9928,4854
2022,225879,175317,1796,40924,20035,11435
2023,517806,442970,21360,103168,7599,-6991
2024,1591672,1161179,39550,250519,248375,219524
